row_index,reason,original_src,original_dst
39935,src_unresolved:LKE|ID:6457.0;dst_unresolved:FBS|ID:8174.0,LKE,FBS
39936,src_unresolved:LKE|ID:6457.0,LKE,SEA
39937,src_unresolved:LKE|ID:6457.0,LKE,YWH
39938,dst_unresolved:WSX|ID:8173.0,LPS,WSX
39939,src_unresolved:RCE|ID:8170.0;dst_unresolved:DHB|ID:9540.0,RCE,DHB
39940,src_unresolved:RCE|ID:8170.0;dst_unresolved:FBS|ID:8174.0,RCE,FBS
39941,src_unresolved:WSX|ID:8173.0;dst_unresolved:DHB|ID:9540.0,WSX,DHB
39942,src_unresolved:WSX|ID:8173.0,WSX,LPS
39943,dst_unresolved:LKE|ID:6457.0,YWH,LKE
39955,dst_unresolved:MTE|ID:nan,STM,MTE
40606,dst_unresolved:TGC|ID:6770.0,KCH,TGC
40687,src_unresolved:LBP|ID:5855.0,LBP,MUR
40721,dst_unresolved:LBP|ID:5855.0,MUR,LBP
40811,src_unresolved:TGC|ID:6770.0,TGC,KCH
41550,src_unresolved:FSZ|ID:6476.0,FSZ,PVG
41806,dst_unresolved:WNH|ID:7528.0,KMG,WNH
42108,dst_unresolved:FSZ|ID:6476.0,PVG,FSZ
42176,dst_unresolved:TVS|ID:8858.0,PVG,TVS
42387,src_unresolved:TVS|ID:8858.0,TVS,PVG
42426,src_unresolved:WNH|ID:7528.0,WNH,KMG
42619,dst_unresolved:CUK|ID:5454.0,BZE,CUK
42620,dst_unresolved:DGA|ID:7287.0,BZE,DGA
42622,dst_unresolved:TZA|ID:6463.0,BZE,TZA
42623,src_unresolved:CUK|ID:5454.0,CUK,BZE
42624,src_unresolved:CUK|ID:5454.0,CUK,SPR
42625,src_unresolved:CZH|ID:7029.0;dst_unresolved:ORZ|ID:nan,CZH,ORZ
42626,src_unresolved:CZH|ID:7029.0,CZH,SPR
42627,src_unresolved:DGA|ID:7287.0,DGA,BZE
42628,src_unresolved:DGA|ID:7287.0;dst_unresolved:INB|ID:9757.0,DGA,INB
42629,src_unresolved:DGA|ID:7287.0;dst_unresolved:PLJ|ID:7288.0,DGA,PLJ
42630,src_unresolved:DGA|ID:7287.0;dst_unresolved:SVK|ID:9756.0,DGA,SVK
42631,src_unresolved:INB|ID:9757.0;dst_unresolved:PLJ|ID:7288.0,INB,PLJ
42632,src_unresolved:INB|ID:9757.0;dst_unresolved:PND|ID:5455.0,INB,PND
42633,src_unresolved:ORZ|ID:nan;dst_unresolved:CZH|ID:7029.0,ORZ,CZH
42634,src_unresolved:ORZ|ID:nan,ORZ,SPR
42635,src_unresolved:PLJ|ID:7288.0;dst_unresolved:DGA|ID:7287.0,PLJ,DGA
42636,src_unresolved:PLJ|ID:7288.0;dst_unresolved:INB|ID:9757.0,PLJ,INB
42637,src_unresolved:PLJ|ID:7288.0;dst_unresolved:PND|ID:5455.0,PLJ,PND
42638,src_unresolved:PLJ|ID:7288.0;dst_unresolved:SVK|ID:9756.0,PLJ,SVK
42639,src_unresolved:PND|ID:5455.0;dst_unresolved:INB|ID:9757.0,PND,INB
42641,dst_unresolved:CUK|ID:5454.0,SPR,CUK
42642,dst_unresolved:CZH|ID:7029.0,SPR,CZH
42643,dst_unresolved:ORZ|ID:nan,SPR,ORZ
42644,dst_unresolved:TZA|ID:6463.0,SPR,TZA
42645,src_unresolved:SVK|ID:9756.0;dst_unresolved:DGA|ID:7287.0,SVK,DGA
42646,src_unresolved:SVK|ID:9756.0;dst_unresolved:INB|ID:9757.0,SVK,INB
42647,src_unresolved:SVK|ID:9756.0;dst_unresolved:PLJ|ID:7288.0,SVK,PLJ
42648,src_unresolved:TZA|ID:6463.0,TZA,BZE
42649,src_unresolved:TZA|ID:6463.0;dst_unresolved:DGA|ID:7287.0,TZA,DGA
42650,src_unresolved:TZA|ID:6463.0,TZA,SPR
42780,dst_unresolved:FSZ|ID:6476.0,CTS,FSZ
42829,src_unresolved:FSZ|ID:6476.0,FSZ,CTS
42830,src_unresolved:FSZ|ID:6476.0,FSZ,ICN
42831,src_unresolved:FSZ|ID:6476.0,FSZ,OKA
42949,dst_unresolved:FSZ|ID:6476.0,ICN,FSZ
43174,dst_unresolved:FSZ|ID:6476.0,OKA,FSZ
43313,dst_unresolved:RIG|ID:2611.0,PET,RIG
43323,src_unresolved:RIG|ID:2611.0,RIG,PET
43324,src_unresolved:RIG|ID:2611.0,RIG,POA
43840,src_unresolved:KUS|ID:4248.0,KUS,RKV
43845,dst_unresolved:KUS|ID:4248.0,RKV,KUS
44976,src_unresolved:FSZ|ID:6476.0,FSZ,ICN
45023,dst_unresolved:FSZ|ID:6476.0,ICN,FSZ
46000,src_unresolved:GLN|ID:9823.0,GLN,LPA
46004,dst_unresolved:GLN|ID:9823.0,LPA,GLN
46418,dst_unresolved:LNV|ID:5979.0,BUA,LNV
46444,src_unresolved:LNV|ID:5979.0,LNV,POM
46445,src_unresolved:LNV|ID:5979.0,LNV,RAB
46477,dst_unresolved:LNV|ID:5979.0,POM,LNV
46498,dst_unresolved:LNV|ID:5979.0,RAB,LNV
46557,src_unresolved:FVM|ID:10119.0,FVM,MLE
46573,dst_unresolved:FVM|ID:10119.0,MLE,FVM
46584,src_unresolved:CKX|ID:nan,CKX,TKJ
46587,dst_unresolved:CKX|ID:nan,TKJ,CKX
